ticker,volume,open,close,high,low,time,transactions
AAPL,35952,209.91,209.89,209.92,209.84,1751999760000,497
AAPL,26935,209.88,209.89,209.92,209.84,1751999820000,551
AAPL,21621,209.89,209.94,209.94,209.86,1751999880000,467
AAPL,44756,209.94,210.04,210.05,209.91,1751999940000,753
AAPL,32077,210.03,209.94,210.03,209.94,1752000000000,571
AAPL,23611,209.94,209.88,209.96,209.88,1752000060000,528
AAPL,40267,209.88,209.77,209.89,209.75,1752000120000,742
AAPL,67727,209.76,209.79,209.84,209.68,1752000180000,944
AAPL,39566,209.78,209.69,209.78,209.68,1752000240000,625
AAPL,100029,209.69,209.76,209.76,209.56,1752000300000,1524
AAPL,36351,209.76,209.77,209.79,209.74,1752000360000,607
AAPL,36937,209.78,209.77,209.78,209.69,1752000420000,614
AAPL,34821,209.78,209.85,209.88,209.77,1752000480000,609
AAPL,28351,209.85,209.82,209.87,209.79,1752000540000,608
AAPL,40493,209.82,209.89,209.89,209.78,1752000600000,670
AAPL,24222,209.89,209.87,209.89,209.82,1752000660000,557
AAPL,29023,209.88,209.83,209.91,209.83,1752000720000,598
AAPL,27916,209.82,209.84,209.90,209.81,1752000780000,652
AAPL,42889,209.83,209.74,209.83,209.73,1752000840000,764
AAPL,35814,209.75,209.79,209.80,209.71,1752000900000,703
AAPL,33354,209.78,209.79,209.84,209.78,1752000960000,600
AAPL,32592,209.79,209.74,209.80,209.71,1752001020000,655
AAPL,40447,209.73,209.68,209.73,209.63,1752001080000,733
AAPL,42578,209.68,209.70,209.72,209.66,1752001140000,734
AAPL,34723,209.70,209.66,209.70,209.62,1752001200000,703
AAPL,31303,209.66,209.67,209.70,209.63,1752001260000,640
AAPL,32703,209.68,209.60,209.68,209.57,1752001320000,630
AAPL,58274,209.59,209.57,209.61,209.49,1752001380000,966
AAPL,35153,209.57,209.61,209.64,209.56,1752001440000,743
AAPL,40482,209.61,209.51,209.62,209.51,1752001500000,809
AAPL,47679,209.50,209.72,209.72,209.48,1752001560000,876
AAPL,40753,209.72,209.69,209.73,209.64,1752001620000,783
AAPL,47307,209.69,209.68,209.73,209.66,1752001680000,838
AAPL,48899,209.69,209.65,209.71,209.59,1752001740000,930
AAPL,39989,209.65,209.59,209.65,209.54,1752001800000,797
AAPL,29380,209.57,209.62,209.64,209.55,1752001860000,590
AAPL,84412,209.63,209.62,209.67,209.56,1752001920000,823
AAPL,61030,209.62,209.52,209.66,209.52,1752001980000,937
AAPL,99066,209.53,209.49,209.53,209.43,1752002040000,1522
AAPL,59495,209.49,209.59,209.62,209.48,1752002100000,972
AAPL,38197,209.58,209.56,209.60,209.48,1752002160000,613
AAPL,23726,209.55,209.59,209.59,209.55,1752002220000,668
AAPL,43614,209.58,209.61,209.63,209.57,1752002280000,715
AAPL,29543,209.60,209.58,209.61,209.53,1752002340000,596
AAPL,38147,209.57,209.52,209.59,209.51,1752002400000,765
AAPL,71849,209.54,209.52,209.57,209.46,1752002460000,1073
AAPL,67377,209.52,209.48,209.58,209.48,1752002520000,813
AAPL,70525,209.49,209.56,209.57,209.47,1752002580000,883
AAPL,50437,209.56,209.44,209.56,209.43,1752002640000,743
AAPL,60530,209.44,209.50,209.52,209.41,1752002700000,946
AAPL,60388,209.51,209.57,209.59,209.50,1752002760000,797
